AtomicNumber,Name,AtomicWeight,Symbol,MeltingPoint,BoilingPoint,Density,Year_Discovered,IonizationEnergy,Table_Row,Table_Column,ChemicalSeries,AtomicRadius,NaturalState,ThermalConductivity,SpecificHeat,ElectronAffinity,NumberOfIsotopes,Classification,CrystalStructure,Discoverer,Cost,NaturalForming,PrimaryUse
94,Plutonium,242.000,Pu,640,3235.0,19.8400000,1940,6.0262,9,9,Actinide,1.51,unstable,6.70000,140.00,,15,metal,Monoclinic,G.T. Seaborg,,no,nuclear batteries
95,Americium,243.000,Am,994,2607.0,13.6700000,1945,5.9738,9,10,Actinide,1.84,unstable,0.10000,,,15,metal,Hexagonal,G.T. Seaborg,,no,crystal research
96,Curium,247.000,Cm,1340,,13.5100000,1944,5.9915,9,11,Actinide,,unstable,10.00000,,,13,metal,Hexagonal,G.T. Seaborg,,no,none
97,Berkelium,247.000,Bk,986,,14.7800000,1949,6.1979,9,12,Actinide,,unstable,0.10000,,,9,metal,Hexagonal,G.T. Seaborg,,no,none
98,Californium,249.000,Cf,900,,15.1000000,1950,6.2817,9,13,Actinide,,unstable,10.00000,,,11,metal,Hexagonal,G.T. Seaborg,,no,rocket fuel
99,Einsteinium,254.000,Es,860,,,1952,6.4200,9,14,Actinide,,unstable,10.00000,,,12,metal,Cubic face centered,Argonne,Los Alamos,Univ. of CA,
100,Fermium,253.000,Fm,1527,,,1953,6.5000,9,15,Actinide,,unstable,,,,13,metal,,Argonne,Los Alamos,Univ. of CA,
101,Menelevium,256.000,Md,,,,1955,6.5800,9,16,Actinide,,unstable,,,,15,metal,,G.T. Seaborg,,no,none
102,Nobelium,254.000,No,827,,,1957,6.6500,9,17,Actinide,,unstable,,,,12,metal,,Nobel Institute for Physics,,no,none
103,Lawrencium,257.000,Lr,,,,1961,4.9000,9,18,Actinide,,unstable,,,,11,metal,,A. Ghiorso,,no,none
104,Rutherfordium,257.000,Rf,,,,1969,,7,4,Transition metal,,unstable,,,,10,metal,,A. Ghiorso,,no,none
105,Dubnium,260.000,Db,,,,1970,,7,5,Transition metal,,unstable,,,,9,metal,,A. Ghiorso,,no,none
106,Seaborgium,263.000,Sg,,,,1974,,7,6,Transition metal,,unstable,,,,6,metal,,,,no,none
107,Bohrium,262.000,Bh,,,,1976,,7,7,Transition metal,,unstable,,,,4,metal,,Soviets at Dubna,,no,none
108,Hassium,265.000,Hs,,,,1984,,7,8,Transition metal,,unstable,,,,4,metal,,Peter Armbruster,Gottfried Munzenber,and co-workers at GSI in Darmstadt,Germany
109,Meitnerium,266.000,Mt,,,,1982,,7,9,Transition metal,,unstable,,,,2,metal,,Heavy Ion Research Laboratory,Darmstadt,W.Germany,
110,Darmstadtium,269.000,Ds,,,,1994,,7,10,Transition metal,,unstable,,,,6,metal,,GSI,Darmstadt,Germany,
111,Roentgenium,272.000,Rg,,,,1994,,7,11,Transition metal,,unstable,,,,1,metal,,GSI,Darmstadt,Germany,
112,Ununbium,277.000,Uub,,,,1996,,7,12,Transition metal,,unstable,,,,3,metal,,GSI,Darmstadt,Germany,
